sigla,faixa_etaria,qtd_clientes,pct_clientes,valor_total
CS,Gen X (1965-1980),15029,28.32880946995401,28996540.32
CS,Gen Z (1997-2012),7777,14.659202292090779,11046442.7
CS,Millennials (1981-1996),26138,49.26864208700897,47717727.00000001
CS,Boomers (1946-1964),3964,7.471914348186686,6747270.84
CS,Nao Informado,47,0.08859232451179974,53615.36
CS,Silent (antes 1946),97,0.18283947824775693,137989.02999999997
BS,Millennials (1981-1996),33259,47.70230343363644,87087857.70000002
BS,Gen Z (1997-2012),10625,15.239092395513612,18905347.9
BS,Gen X (1965-1980),19264,27.629729497145807,57863419.26
BS,Boomers (1946-1964),6302,9.038753908378991,16790527.259999998
BS,Nao Informado,58,0.08318751613550959,49426.380000000005
BS,Silent (antes 1946),214,0.3069332491896388,465316.42999999993
NK,Gen Z (1997-2012),6384,14.942071386775893,8650965.76
NK,Millennials (1981-1996),19204,44.947922761849036,41942364.879999995
NK,Gen X (1965-1980),12804,29.96840257460503,35891296.14
NK,Boomers (1946-1964),4147,9.706260971328263,10674077.2
NK,Nao Informado,25,0.058513750731421885,25713.430000000004
NK,Silent (antes 1946),161,0.3768285547103569,363914.58999999997
NR,Millennials (1981-1996),15062,49.16438177307742,21036736.599999998
NR,Gen Z (1997-2012),5276,17.22156939548244,6187330.29
NR,Boomers (1946-1964),1693,5.526178352265309,2607946.37
NR,Gen X (1965-1980),8541,27.87896592244418,13081723.200000001
NR,Nao Informado,26,0.084867476171824,17720.11
NR,Silent (antes 1946),38,0.12403708055881968,74500.51
GS,Gen X (1965-1980),14279,28.579148569941758,31515167.03
GS,Millennials (1981-1996),23946,47.92746632508056,46954185.019999996
GS,Gen Z (1997-2012),8224,16.46018053359486,11510605.86
GS,Nao Informado,29,0.0580429517843204,23441.190000000002
GS,Boomers (1946-1964),3389,6.783019434381441,7963194.4
GS,Silent (antes 1946),96,0.1921421852170606,166360.49
NS,Gen X (1965-1980),6058,24.22037422037422,9963612.209999999
NS,Millennials (1981-1996),12713,50.82760275067968,18887636.07
NS,Gen Z (1997-2012),4796,19.17479609787302,5191342.609999999
NS,Boomers (1946-1964),1382,5.525347833040141,1861697.31
NS,Nao Informado,26,0.10395010395010396,15392.26
NS,Silent (antes 1946),37,0.14792899408284024,40061.549999999996
