faixa_etaria,qtd_hs,valor_total,ticket_medio,pct_hs
Boomers (1946-1964),2136,24780156.28,11601.196760299626,8.411104548139397
Gen X (1965-1980),8578,97523434.42,11369.017768710655,33.77830281551486
Gen Z (1997-2012),2327,21865307.61,9396.350498495916,9.16322110651703
Millennials (1981-1996),12292,129327232.03,10521.252198991215,48.403228982083085
Nao Informado,3,25463.21,8487.736666666666,0.011813349084465446
Silent (antes 1946),59,550652.14,9333.087118644067,0.23232919866115376
