faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),1389.7393439233012,1256.5462316932696,1038.0,1005.5895454545455
25-39 (Millennials),1986.4035934788492,1794.7419808937314,1034.0486666666666,1568.219285714286
40-54 (Gen X),2692.002604329092,2188.603932013932,927.85,1006.8259322033899
55-69 (Boomers),2476.1845089393864,2160.82025532262,525.59,878.12375
70+ (Silent),2415.500328879753,2419.274686567164,1009.49,597.1633333333333
Nao Informado,747.7528749999999,3705.454181818182,939.3742105263158,0.0
