genero,qtd_clientes,valor_total,ticket_medio_cliente,freq_media,idade_media,qtd_high_spenders,pct_clientes,pct_valor,pct_hs
Feminino,157704,360679463.91,2287.0660472150357,7.477603611829757,41.66923818707811,16843,62.10457089074677,65.52299826913244,10.680134936336428
Masculino,95771,189258455.7,1976.1562028171365,4.8269204665295335,41.74368966525973,8539,37.715066572678616,34.38172312561752,8.916060185233526
Outro,262,339040.84,1294.049007633588,5.072519083969466,35.32442748091603,11,0.10317682223263618,0.06159200785001857,4.198473282442748
Nao Informado,196,185432.05,946.081887755102,3.5969387755102042,37.08,3,0.07718571434197209,0.033686597400021286,1.530612244897959
