faixa_etaria,qtd_clientes,valor_total,ticket_medio_cliente,freq_media,idade_media,qtd_high_spenders,pct_clientes,pct_valor,pct_hs
16-24 (Gen Z),16705,22449145.63,1343.8578647111642,5.012990122717749,21.84334031727028,822,6.576020848013416,4.071415508634848,4.920682430410057
25-39 (Millennials),100948,193330094.78,1915.1453696952888,6.1048163410865,32.691187542100884,8677,39.7387699829547,35.062677179182124,8.595514522328328
40-54 (Gen X),96823,242053172.5,2499.9553050411578,7.4570711504497895,45.97157700133233,11749,38.11493963287656,43.899178021001866,12.13451349369468
55-69 (Boomers),32985,77997226.37,2364.627144762771,5.896831893284826,60.63283310595725,3542,12.984737962988477,14.145710589936645,10.738214339851448
70+ (Silent),6261,15125804.12,2415.876716179524,4.939626257786296,74.35537454080817,606,2.4646792295367854,2.7432417469127923,9.678965021562052
Nao Informado,307,428849.91,1396.9052442996742,5.078175895765472,,10,0.12085234363005798,0.07777695433172076,3.257328990228013
