dia_semana,valor,transacoes
Domingo,394737.86,2316
Quarta,202958.24,1476
Quinta,229627.55,1541
Sabado,480634.83,2790
Segunda,248597.48,1653
Sexta,267986.81,1648
Terca,254897.77,1709
