segmento,valor,clientes
Moda,502724.19,626
Gastronomia,119319.34,515
Joalheria,97395.8,54
Beleza e Bem-estar,85130.99,240
Esportes,61307.32,116
Infantil,59311.090000000004,168
Calçados,54733.58,119
Moda Feminina,53577.85,33
Casa e Decoração,37325.340000000004,67
Calçados Femininos,27229.34,45
Presentes e Acessórios,26451.34,87
Eletrônicos,18634.27,17
Livrarias,16961.06,114
Telefonia,16563.06,5
Ótica,16439.16,16
Supermercado,13378.72,129
Eletrodomésticos,11402.96,5
Farmácias,6037.09,58
Serviços,4022.83,45
Lazer,1890.5,27
