genero,qtd_clientes,valor_total,pct_clientes
Feminino,847,666109.51,71.77966101694915
Masculino,324,263888.54,27.45762711864407
Nao Informado,6,1786.05,0.5084745762711864
Outro,3,2337.64,0.2542372881355932
