loja,valor,clientes
Zara,124328.3,220
Renner,95224.43000000001,236
Vivara,54527.4,23
Centauro,42793.950000000004,89
C&A,41330.87,117
Sephora,33876.02,50
Track&Field,19929.31,20
Superlegal Brinquedos,19555.6,95
Live!,19217.61,23
Riachuelo,17826.22,79
Livrarias Catarinense,16961.06,114
Outback Steakhouse,16730.73,53
Paris Cosméticos,16346.33,52
Camicado,16069.91,35
Adidas,15606.57,21
LE LIS BLANC DEUX,15524.94,10
Tok&Stok,13692.12,30
Lojas Americanas,13378.72,129
Farm,12104.970000000001,12
Paula Torres,11880.0,4
