quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,10.0,1.0,319.01,Global
40%,42.0,2.0,605.4100000000001,Global
60%,51.0,3.0,924.672,Global
80%,59.0,5.0,1696.736000000001,Global
