cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
110,579.9,2,52,Garten Shopping,Outro,Eletrônicos,3,2,3,8,Potencial
136,1925.68,14,38,Garten Shopping,Masculino,Gastronomia,5,5,5,15,VIP
151,1896.73,32,3,Neumarkt Shopping,Masculino,Gastronomia,5,5,4,14,VIP
152,6044.78,75,0,Garten Shopping,Feminino,Gastronomia,5,5,5,15,VIP
164,2518.93,36,21,Nações Shopping,Feminino,Gastronomia,3,5,5,13,VIP
168,4651.11,22,6,Continente Shopping,Feminino,Gastronomia,5,5,5,15,VIP
169,5063.29,39,4,Continente Shopping,Masculino,Gastronomia,5,5,5,15,VIP
170,489.6,1,0,Nações Shopping,Masculino,Moda,5,1,2,8,Potencial
174,42.8,3,38,Neumarkt Shopping,Masculino,Gastronomia,4,3,1,8,Potencial
177,1471.3999999999999,24,8,Nações Shopping,Feminino,Eletrodomésticos,4,5,5,14,VIP
195,5529.93,16,6,Continente Shopping,Feminino,Moda,5,5,5,15,VIP
196,69.97,2,59,Garten Shopping,Nao Informado,Farmácias,2,2,1,5,Pontual
235,420.33,4,51,Continente Shopping,Masculino,Serviços,3,4,2,9,Potencial
241,8184.5,6,1,Balneário Shopping,Feminino,Moda,5,4,5,14,VIP
266,139.17,5,17,Norte Shopping,Feminino,Livrarias,2,5,1,8,Potencial
272,1236.6299999999999,23,23,Norte Shopping,Feminino,Eletrodomésticos,2,5,4,11,Premium
287,600.0,1,0,Norte Shopping,Masculino,Esportes,5,1,2,8,Potencial
307,572.57,3,8,Balneário Shopping,Feminino,Calçados,5,3,2,10,Premium
334,9.0,1,61,Nações Shopping,Feminino,Serviços,1,1,1,3,Pontual
336,3190.85,8,47,Neumarkt Shopping,Feminino,Moda,4,5,5,14,VIP
349,1269.84,11,8,Norte Shopping,Masculino,Moda,4,5,4,13,VIP
375,3633.2400000000002,62,0,Garten Shopping,Feminino,Gastronomia,5,5,5,15,VIP
382,883.85,17,32,Balneário Shopping,Feminino,Moda,4,5,3,12,Premium
424,65.9,2,44,Continente Shopping,Masculino,Gastronomia,4,2,1,7,Potencial
448,2110.0,2,51,Neumarkt Shopping,Masculino,Beleza e Bem-estar,3,2,5,10,Premium
568,3389.57,24,4,Neumarkt Shopping,Feminino,Gastronomia,5,5,5,15,VIP
610,140.0,3,18,Neumarkt Shopping,Masculino,Infantil,5,3,1,9,Potencial
611,30.0,1,50,Balneário Shopping,Feminino,Serviços,4,1,1,6,Pontual
617,272.06,10,2,Garten Shopping,Feminino,Gastronomia,5,5,1,11,Premium
