quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,43.0,1.0,309.8,Garten Shopping
40%,50.0,2.0,515.5200000000001,Garten Shopping
60%,56.0,3.0,839.7019999999999,Garten Shopping
80%,64.0,5.0,1566.3080000000007,Garten Shopping
20%,29.0,1.0,317.25000000000006,Neumarkt Shopping
40%,47.0,2.0,582.6520000000002,Neumarkt Shopping
60%,52.0,3.0,1019.89,Neumarkt Shopping
80%,59.0,7.0,1983.760000000001,Neumarkt Shopping
20%,4.0,1.0,266.45,Nações Shopping
40%,11.0,2.0,582.99,Nações Shopping
60%,30.0,2.0,839.6,Nações Shopping
80%,52.0,4.0,1384.1,Nações Shopping
20%,33.0,1.0,316.64,Continente Shopping
40%,49.0,2.0,549.73,Continente Shopping
60%,53.0,3.0,903.44,Continente Shopping
80%,62.0,6.0,1709.83,Continente Shopping
20%,31.0,1.0,339.004,Balneário Shopping
40%,50.0,2.0,652.1480000000001,Balneário Shopping
60%,54.0,3.0,1164.698,Balneário Shopping
80%,63.0,6.0,2284.2340000000004,Balneário Shopping
20%,5.0,1.0,382.0040000000001,Norte Shopping
40%,11.0,1.0,678.094,Norte Shopping
60%,16.0,2.0,968.1839999999999,Norte Shopping
80%,51.0,4.0,1603.3880000000008,Norte Shopping
