faixa_etaria,segmento,valor,clientes,ranking
Gen X (1965-1980),Moda,1231454.45,1467,1
Gen X (1965-1980),Joalheria,328466.79,151,2
Gen X (1965-1980),Eletrônicos,261586.89,89,3
Gen X (1965-1980),Calçados,210051.62,379,4
Gen X (1965-1980),Esportes,178213.09,377,5
Millennials (1981-1996),Moda,1732488.55,2459,1
Millennials (1981-1996),Joalheria,374201.07,197,2
Millennials (1981-1996),Calçados,273478.32,625,3
Millennials (1981-1996),Beleza e Bem-estar,271169.71,730,4
Millennials (1981-1996),Eletrônicos,270729.46,102,5
Gen Z (1997-2012),Moda,337306.02,494,1
Gen Z (1997-2012),Beleza e Bem-estar,72137.63,199,2
Gen Z (1997-2012),Joalheria,71791.83,40,3
Gen Z (1997-2012),Eletrônicos,62673.51,21,4
Gen Z (1997-2012),Calçados,61446.1,145,5
Nao Informado,Moda,194.98,1,1
Nao Informado,Gastronomia,177.3,2,2
Nao Informado,Farmácias,43.97,1,3
Boomers (1946-1964),Moda,226212.33,294,1
Boomers (1946-1964),Joalheria,93864.33,29,2
Boomers (1946-1964),Eletrônicos,51483.74,21,3
Boomers (1946-1964),Ótica,40038.58,21,4
Boomers (1946-1964),Beleza e Bem-estar,35020.74,94,5
Silent (antes 1946),Ótica,11521.0,3,1
Silent (antes 1946),Moda,10053.68,9,2
Silent (antes 1946),Esportes,2759.8,1,3
Silent (antes 1946),Beleza e Bem-estar,2697.38,3,4
Silent (antes 1946),Casa e Decoração,1843.27,4,5
