segmento,valor,clientes
Moda,934969.99,1305
Joalheria,230232.89,115
Esportes,149379.97,320
Calçados,144216.68,325
Serviços,138812.36,363
Ótica,98911.94,82
Casa e Decoração,97221.95,327
Beleza e Bem-estar,93303.51,257
Gastronomia,90774.18,671
Telefonia,85233.5,38
Eletrônicos,70937.67,45
Moda Feminina,53745.01,34
Presentes e Acessórios,43310.9,179
Infantil,42119.53,159
Farmácias,23324.05,157
Eletrodomésticos,22916.670000000002,14
Papelaria,18147.39,131
Livrarias,14876.29,131
Pets,11304.52,97
Kids,2965.88,39
