faixa_etaria,qtd_clientes,valor_total,pct_clientes
16-24 (Gen Z),61,53536.74,6.03960396039604
25-39 (Millennials),430,322691.45,42.57425742574257
40-54 (Gen X),420,336197.72000000003,41.584158415841586
55-69 (Boomers),84,83678.95,8.316831683168317
70+ (Silent),14,13754.2,1.3861386138613863
Nao Informado,1,103.18,0.09900990099009901
