segmento,valor,clientes
Moda,442383.8,508
Beleza e Bem-estar,95710.03,240
Joalheria,94407.23,53
Gastronomia,90737.92,308
Calçados,65155.38,105
Moda Feminina,49347.67,34
Esportes,35927.11,77
Infantil,33691.02,116
Ótica,32288.87,17
Casa e Decoração,24480.88,44
Presentes e Acessórios,23794.99,88
Calçados Femininos,15903.91,18
Livrarias,12678.88,105
Eletrônicos,12376.7,12
Telefonia,9585.0,2
Supermercado,9242.31,75
Eletrodomésticos,8706.17,6
Promocional,7000.0,2
Serviços,3587.3,86
Farmácias,3560.33,26
