faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),5598707.64,3205529.52,0.0,2821.84
Gen X (1965-1980),21126281.37,12250799.31,20.0,5013.889999999999
Gen Z (1997-2012),6906701.45,4219694.65,0.0,12665.74
Millennials (1981-1996),32085312.31,18906882.03,2659.2400000000002,26431.06
Nao Informado,386.86,1735.9,91191.27,0.0
Silent (antes 1946),161031.36000000002,100485.41,0.0,0.0
