faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),3500,1915,0,3
Gen X (1965-1980),13126,7533,1,8
Gen Z (1997-2012),6633,3781,0,13
Millennials (1981-1996),22551,12847,3,25
Nao Informado,1,2,103,0
Silent (antes 1946),109,61,0,0
