faixa_etaria,segmento,valor,clientes,ranking
Gen X (1965-1980),Moda,12156587.21,12239,1
Gen X (1965-1980),Joalheria,3642972.16,1348,2
Gen X (1965-1980),Calçados,2383419.78,4154,3
Gen X (1965-1980),Beleza e Bem-estar,1954739.71,4567,4
Gen X (1965-1980),Gastronomia,1608849.97,6599,5
Millennials (1981-1996),Moda,20070685.1,20848,1
Millennials (1981-1996),Joalheria,5771206.48,2159,2
Millennials (1981-1996),Calçados,3718716.12,6977,3
Millennials (1981-1996),Beleza e Bem-estar,3131479.16,7466,4
Millennials (1981-1996),Gastronomia,2487582.52,11088,5
Gen Z (1997-2012),Moda,4429510.06,5685,1
Gen Z (1997-2012),Joalheria,936085.48,572,2
Gen Z (1997-2012),Beleza e Bem-estar,885619.2,2320,3
Gen Z (1997-2012),Calçados,799065.25,1622,4
Gen Z (1997-2012),Gastronomia,576554.87,2789,5
Boomers (1946-1964),Moda,2818429.47,3107,1
Boomers (1946-1964),Joalheria,1128977.83,299,2
Boomers (1946-1964),Calçados,658178.68,1087,3
Boomers (1946-1964),Serviços,631066.82,222,4
Boomers (1946-1964),Telefonia,443068.0,143,5
Nao Informado,Moda,37608.74,57,1
Nao Informado,Eletrônicos,14805.0,4,2
Nao Informado,Calçados,9680.34,21,3
Nao Informado,Casa e Decoração,7237.6,10,4
Nao Informado,Ótica,4349.61,3,5
Silent (antes 1946),Moda,92976.09,90,1
Silent (antes 1946),Calçados,24777.11,39,2
Silent (antes 1946),Joalheria,20731.0,6,3
Silent (antes 1946),Telefonia,18848.88,9,4
Silent (antes 1946),Eletrônicos,18177.7,7,5
