segmento,valor,clientes
Moda,534603.0,865
Casa e Decoração,101411.14,228
Gastronomia,94016.7,542
Beleza e Bem-estar,72674.54,297
Esportes,69784.97,170
Calçados,57101.71,188
Joalheria,51853.96,57
Infantil,43127.590000000004,152
Calçados Femininos,40469.33,58
Eletrônicos,36274.1,16
Livrarias,25751.86,155
Pets,22910.61,134
Farmácias,19999.83,149
Papelaria,15645.81,57
Ótica,10573.74,15
Eletrodomésticos,10193.58,120
Outros,9798.47,30
Presentes e Acessórios,9455.4,24
Serviços,2519.0,147
Gastronomia - Sorvetes,1662.0,39
