sigla,faixa_etaria,qtd_clientes,pct_clientes,valor_total
BS,25-39 (Millennials),341,40.40284360189573,361381.86
BS,40-54 (Gen X),337,39.92890995260663,324730.11
BS,55-69 (Boomers),100,11.848341232227488,106148.41
BS,16-24 (Gen Z),52,6.161137440758294,51676.51
BS,70+ (Silent),13,1.5402843601895735,8460.699999999999
BS,Nao Informado,1,0.11848341232227488,239.91
CS,40-54 (Gen X),248,45.84103512014787,303003.92
CS,25-39 (Millennials),198,36.59889094269871,226092.45
CS,55-69 (Boomers),66,12.199630314232902,87433.70999999999
CS,16-24 (Gen Z),20,3.6968576709796674,20082.18
CS,70+ (Silent),9,1.6635859519408502,7517.129999999999
NK,25-39 (Millennials),205,31.25,174159.61
NK,16-24 (Gen Z),28,4.2682926829268295,23047.58
NK,40-54 (Gen X),305,46.493902439024396,273291.35
NK,55-69 (Boomers),103,15.701219512195122,89705.93
NK,70+ (Silent),14,2.1341463414634148,17633.049999999996
NK,Nao Informado,1,0.1524390243902439,61.84
GS,16-24 (Gen Z),13,4.113924050632911,8987.97
GS,40-54 (Gen X),144,45.56962025316456,97732.54000000001
GS,25-39 (Millennials),138,43.67088607594937,102807.72
GS,55-69 (Boomers),17,5.379746835443038,9675.53
GS,70+ (Silent),4,1.2658227848101267,11168.84
NR,25-39 (Millennials),156,40.20618556701031,90203.42
NR,16-24 (Gen Z),18,4.639175257731959,9500.390000000001
NR,40-54 (Gen X),161,41.49484536082475,141361.78
NR,55-69 (Boomers),47,12.11340206185567,44861.73000000001
NR,70+ (Silent),6,1.5463917525773196,2469.060000000001
NS,55-69 (Boomers),18,6.7669172932330826,10092.759999999998
NS,25-39 (Millennials),129,48.49624060150376,90252.14
NS,40-54 (Gen X),104,39.097744360902254,91434.0
NS,16-24 (Gen Z),11,4.135338345864661,4076.04
NS,70+ (Silent),4,1.5037593984962405,1498.79
