faixa_etaria,segmento,valor,clientes,ranking
Millennials (1981-1996),Moda,544214.67,784,1
Millennials (1981-1996),Joalheria,130752.54,62,2
Millennials (1981-1996),Gastronomia,97843.3,605,3
Millennials (1981-1996),Calçados,89929.56999999999,226,4
Millennials (1981-1996),Beleza e Bem-estar,86212.51,285,5
Gen X (1965-1980),Moda,335284.58,489,1
Gen X (1965-1980),Joalheria,94566.81,41,2
Gen X (1965-1980),Calçados,69097.33,133,3
Gen X (1965-1980),Beleza e Bem-estar,55761.9,212,4
Gen X (1965-1980),Esportes,55188.23,125,5
Gen Z (1997-2012),Moda,113590.96,180,1
Gen Z (1997-2012),Telefonia,27104.02,8,2
Gen Z (1997-2012),Gastronomia,25054.91,132,3
Gen Z (1997-2012),Calçados,21363.15,49,4
Gen Z (1997-2012),Joalheria,15253.9,19,5
Boomers (1946-1964),Moda,71291.81,103,1
Boomers (1946-1964),Calçados,19978.05,42,2
Boomers (1946-1964),Moda Feminina,15675.7,13,3
Boomers (1946-1964),Eletrônicos,13396.0,3,4
Boomers (1946-1964),Telefonia,12844.0,4,5
Nao Informado,Moda,161.91,1,1
Nao Informado,Beleza e Bem-estar,78.0,1,2
Nao Informado,Gastronomia,61.84,1,3
Silent (antes 1946),Casa e Decoração,1658.0,1,1
Silent (antes 1946),Eletrodomésticos,1588.75,2,2
Silent (antes 1946),Esportes,779.97,1,3
Silent (antes 1946),Calçados,369.7,1,4
Silent (antes 1946),Gastronomia,257.16,1,5
