faixa_etaria,qtd_hs,valor_total,ticket_medio,pct_hs
Boomers (1946-1964),20,79407.18,3970.3589999999995,6.802721088435375
Gen X (1965-1980),100,378112.18,3781.1218,34.01360544217687
Gen Z (1997-2012),34,114905.45999999999,3379.572352941176,11.564625850340136
Millennials (1981-1996),140,578678.04,4133.414571428571,47.61904761904761
