faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),38,7,0,0
25-39 (Millennials),416,159,2,1
40-54 (Gen X),528,196,0,0
55-69 (Boomers),156,62,0,0
70+ (Silent),24,12,0,0
Nao Informado,0,0,1,0
