faixa_etaria,segmento,valor,clientes,ranking
Gen Z (1997-2012),Moda,60973.97,88,1
Gen Z (1997-2012),Calçados,4395.09,12,2
Gen Z (1997-2012),Joalheria,3820.0,2,3
Gen Z (1997-2012),Moda Feminina,1564.0,1,4
Gen Z (1997-2012),Gastronomia,1258.35,13,5
Millennials (1981-1996),Moda,418960.87,565,1
Millennials (1981-1996),Joalheria,89694.95,18,2
Millennials (1981-1996),Telefonia,60508.0,14,3
Millennials (1981-1996),Calçados,42045.45,87,4
Millennials (1981-1996),Casa e Decoração,19812.51,27,5
Gen X (1965-1980),Moda,286752.18,392,1
Gen X (1965-1980),Joalheria,88369.8,14,2
Gen X (1965-1980),Serviços,64454.59,3,3
Gen X (1965-1980),Telefonia,47149.24,19,4
Gen X (1965-1980),Calçados,28677.64,66,5
Boomers (1946-1964),Moda,61517.41,93,1
Boomers (1946-1964),Joalheria,31207.0,4,2
Boomers (1946-1964),Serviços,20666.43,1,3
Boomers (1946-1964),Calçados,7772.3,15,4
Boomers (1946-1964),Beleza e Bem-estar,2597.4,6,5
Nao Informado,Moda,343.99,1,1
Nao Informado,Livrarias,112.42,1,2
Nao Informado,Gastronomia,36.9,1,3
Nao Informado,Beleza e Bem-estar,22.9,1,4
Nao Informado,Papelaria,20.8,1,5
Silent (antes 1946),Moda,559.75,1,1
