perfil_cliente,qtd_clientes,valor_total,ticket_medio,frequencia_media,pct_clientes,pct_valor
VIP,13369,61461262.48,4597.2969167476995,7.759742688308774,18.51,58.7
Premium,15405,21801220.87,1415.2042109704641,4.430639402791302,21.33,20.82
Potencial,19507,14232530.88,729.6114666529965,2.8796842159224894,27.01,13.59
Pontual,23933,7208375.73,301.1898103037647,1.844691430242761,33.14,6.88
