quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,17.0,1.0,358.88,Garten Shopping
40%,25.0,2.0,589.87,Garten Shopping
60%,36.0,3.0,949.75,Garten Shopping
80%,50.0,5.0,1729.79,Garten Shopping
20%,16.0,1.0,359.9,Neumarkt Shopping
40%,23.0,2.0,629.3020000000001,Neumarkt Shopping
60%,34.0,3.0,1048.2819999999997,Neumarkt Shopping
80%,48.0,6.0,2020.9660000000001,Neumarkt Shopping
20%,17.0,1.0,319.4320000000001,Nações Shopping
40%,24.0,2.0,499.9,Nações Shopping
60%,37.0,3.0,835.808,Nações Shopping
80%,50.0,5.0,1514.8780000000002,Nações Shopping
20%,18.0,1.0,348.08799999999997,Continente Shopping
40%,27.0,2.0,569.97,Continente Shopping
60%,39.0,3.0,910.6159999999999,Continente Shopping
80%,51.0,5.0,1655.2540000000008,Continente Shopping
20%,17.0,1.0,413.52000000000004,Balneário Shopping
40%,23.0,2.0,739.97,Balneário Shopping
60%,35.0,3.0,1262.634,Balneário Shopping
80%,49.0,5.0,2434.8420000000006,Balneário Shopping
20%,19.0,1.0,329.79,Norte Shopping
40%,29.0,1.0,523.4739999999999,Norte Shopping
60%,41.0,2.0,853.862,Norte Shopping
80%,51.0,4.0,1592.8379999999993,Norte Shopping
