cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
137,66.98,1,9,Garten Shopping,Masculino,Gastronomia,5,1,1,7,Potencial
160,231.2,4,7,Norte Shopping,Feminino,Gastronomia,5,4,1,10,Premium
164,694.6,1,23,Nações Shopping,Feminino,Beleza e Bem-estar,3,1,3,7,Potencial
168,26.05,1,8,Continente Shopping,Feminino,Gastronomia,5,1,1,7,Potencial
189,1958.57,3,21,Balneário Shopping,Feminino,Moda,4,3,5,12,Premium
195,135.89,4,9,Continente Shopping,Feminino,Papelaria,5,4,1,10,Premium
232,160.28,3,23,Neumarkt Shopping,Feminino,Beleza e Bem-estar,3,3,1,7,Potencial
235,239.99,1,24,Continente Shopping,Masculino,Calçados,3,1,1,5,Pontual
241,766.8000000000001,3,27,Balneário Shopping,Feminino,Gastronomia,2,3,3,8,Potencial
249,39.97,1,18,Norte Shopping,Masculino,Casa e Decoração,5,1,1,7,Potencial
259,489.89,1,20,Neumarkt Shopping,Masculino,Casa e Decoração,5,1,3,9,Potencial
269,126.93,2,26,Continente Shopping,Masculino,Eletrodomésticos,2,2,1,5,Pontual
281,1890.0,3,20,Balneário Shopping,Feminino,Gastronomia,5,3,5,13,VIP
304,250.96,3,22,Neumarkt Shopping,Masculino,Esportes,4,3,1,8,Potencial
330,448.26,3,26,Continente Shopping,Feminino,Farmácias,2,3,2,7,Potencial
331,1460.57,7,21,Balneário Shopping,Feminino,Gastronomia,4,5,4,13,VIP
338,37.0,1,20,Continente Shopping,Masculino,Serviços,5,1,1,7,Potencial
339,19.98,1,30,Balneário Shopping,Masculino,Esportes,1,1,1,3,Pontual
345,319.98,1,26,Balneário Shopping,Masculino,Esportes,2,1,2,5,Pontual
349,791.5699999999999,6,23,Neumarkt Shopping,Masculino,Casa e Decoração,3,5,3,11,Premium
360,101.95,1,21,Neumarkt Shopping,Feminino,Casa e Decoração,4,1,1,6,Pontual
374,120.0,1,20,Continente Shopping,Feminino,Eletrônicos,5,1,1,7,Potencial
375,621.4,10,15,Garten Shopping,Feminino,Gastronomia,5,5,3,13,VIP
424,110.0,1,20,Continente Shopping,Masculino,Gastronomia,5,1,1,7,Potencial
568,1215.31,19,7,Neumarkt Shopping,Feminino,Gastronomia,5,5,4,14,VIP
577,635.86,4,25,Continente Shopping,Masculino,Gastronomia,3,4,3,10,Premium
611,1603.97,5,20,Balneário Shopping,Feminino,Beleza e Bem-estar,5,4,5,14,VIP
617,542.97,3,10,Garten Shopping,Feminino,Calçados,5,3,3,11,Premium
736,112.99,3,14,Neumarkt Shopping,Masculino,Gastronomia,5,3,1,9,Potencial
757,199.9,1,29,Norte Shopping,Masculino,Moda,1,1,1,3,Pontual
770,331.87,4,6,Norte Shopping,Masculino,Casa e Decoração,5,4,2,11,Premium
986,33.97,1,7,Nações Shopping,Feminino,Eletrodomésticos,5,1,1,7,Potencial
1007,840.47,8,21,Neumarkt Shopping,Feminino,Gastronomia,4,5,4,13,VIP
1010,287.46,4,26,Neumarkt Shopping,Feminino,Livrarias,2,4,2,8,Potencial
1088,369.57,2,23,Continente Shopping,Feminino,Gastronomia,3,2,2,7,Potencial
1107,39.99,1,18,Nações Shopping,Masculino,Casa e Decoração,5,1,1,7,Potencial
1133,159.99,1,19,Balneário Shopping,Feminino,Moda Feminina,5,1,1,7,Potencial
1136,950.91,2,28,Neumarkt Shopping,Feminino,Beleza e Bem-estar,1,2,4,7,Potencial
1138,3622.88,5,24,Balneário Shopping,Feminino,Calçados,3,4,5,12,Premium
1167,4605.89,18,7,Nações Shopping,Feminino,Gastronomia,5,5,5,15,VIP
1178,3488.15,13,28,Neumarkt Shopping,Feminino,Gastronomia,1,5,5,11,Premium
1303,1037.46,4,9,Nações Shopping,Feminino,Moda,5,4,4,13,VIP
1318,2007.62,7,20,Balneário Shopping,Feminino,Beleza e Bem-estar,5,5,5,15,VIP
1512,1003.39,7,27,Neumarkt Shopping,Masculino,Pets,2,5,4,11,Premium
1547,307.6,6,20,Continente Shopping,Feminino,Gastronomia,5,5,2,12,Premium
1640,816.0,1,23,Norte Shopping,Masculino,Ótica,3,1,3,7,Potencial
1667,880.0,2,23,Nações Shopping,Masculino,Joalheria,3,2,4,9,Potencial
1738,1943.43,6,27,Balneário Shopping,Feminino,Beleza e Bem-estar,2,5,5,12,Premium
