segmento,valor,clientes
Moda,903853.58,1542
Joalheria,433869.64,106
Gastronomia,164986.4,1077
Telefonia,145969.1,43
Calçados,143978.81,399
Esportes,130204.71,332
Beleza e Bem-estar,116608.87,326
Casa e Decoração,110638.58,391
Presentes e Acessórios,102387.61,389
Ótica,91257.67,103
Serviços,86528.68000000001,209
Eletrônicos,79271.28,54
Infantil,78736.95,287
Moda Feminina,59814.93,98
Papelaria,55578.04,304
Eletrodomésticos,47719.73,31
Farmácias,37948.14,230
Livrarias,33770.13,286
Pets,19332.26,147
Kids,8251.07,90
