loja,valor,clientes
Renner,109786.49,270
Havan,72175.78,209
Riachuelo,34935.89,149
Centauro,34871.49,96
Óticas Carol,25802.0,11
Panvel Farmácias,23206.68,126
Livrarias Catarinense,21108.5,155
Madero,19732.739999999998,75
Me.Linda,18886.87,141
Ri Happy,18161.35,71
Luz da Lua,18111.1,21
Lojas Americanas,17072.96,213
Hering Store,17066.83,49
Cobasi,16716.53,86
Adidas,16190.83,28
McDonald's,15135.289999999999,153
Ótica Chroma ,15130.0,3
Studio Z,14894.050000000001,80
JCanedo,14638.86,15
Shoulder,14159.67,16
