segmento,valor,clientes
Moda,293788.8,544
Gastronomia,170931.13,717
Casa e Decoração,87515.14,277
Calçados,80164.58,175
Esportes,58152.91,137
Beleza e Bem-estar,55940.86,297
Ótica,49728.68,18
Presentes e Acessórios,27454.16,59
Joalheria,26743.38,28
Infantil,26605.86,85
Farmácias,23206.68,126
Moda Feminina,22874.93,33
Livrarias,21108.5,155
Eletrodomésticos,17072.96,213
Pets,16716.53,86
Papelaria,13122.03,140
Telefonia,11633.0,5
Eletrônicos,7230.2699999999995,16
Lazer,5293.5,55
Gastronomia - Restaurante,4866.63,23
