segmento,valor,clientes
Moda,25152.32,69
Eletrodomésticos,20483.9,46
Supermercado,15339.5,64
Casa e Decoração,13240.0,57
Gastronomia,12448.32,137
Eletrônicos,9312.699999999999,3
Calçados,9126.82,27
Beleza e Bem-estar,8777.380000000001,53
Papelaria,7818.48,36
Esportes,6526.22,26
Joalheria,4259.65,7
Pets,3565.03,21
Livrarias,3513.7000000000003,20
Infantil,2911.62,19
Outros,1588.0,2
Serviços,771.0,40
Presentes e Acessórios,770.4699999999999,12
Hub da Saúde,525.0,1
Gastronomia - Sorvetes,281.0,10
Lazer,104.0,2
