sigla,faixa_etaria,qtd_clientes,pct_clientes,valor_total
CS,Gen Z (1997-2012),76,17.674418604651162,71890.0
CS,Gen X (1965-1980),102,23.72093023255814,87074.06
CS,Millennials (1981-1996),240,55.81395348837209,210436.85
CS,Boomers (1946-1964),12,2.7906976744186047,11836.9
BS,Gen X (1965-1980),120,29.055690072639223,164197.22
BS,Gen Z (1997-2012),49,11.864406779661017,40413.09
BS,Millennials (1981-1996),226,54.72154963680388,276268.94999999995
BS,Boomers (1946-1964),17,4.116222760290557,19598.48
BS,Silent (antes 1946),1,0.24213075060532688,4502.13
NK,Millennials (1981-1996),260,52.52525252525253,185645.72999999998
NK,Gen Z (1997-2012),57,11.515151515151516,41518.3
NK,Gen X (1965-1980),152,30.707070707070706,138978.7
NK,Boomers (1946-1964),24,4.848484848484849,25691.12
NK,Silent (antes 1946),2,0.40404040404040403,2676.2799999999997
NR,Millennials (1981-1996),1154,51.70250896057348,1206029.47
NR,Gen Z (1997-2012),343,15.367383512544802,342333.45
NR,Gen X (1965-1980),597,26.747311827956988,780714.29
NR,Boomers (1946-1964),130,5.824372759856631,171963.99
NR,Nao Informado,2,0.08960573476702509,1980.0300000000002
NR,Silent (antes 1946),6,0.2688172043010753,6595.79
GS,Millennials (1981-1996),286,61.111111111111114,194022.16000000003
GS,Gen Z (1997-2012),63,13.461538461538462,44602.19
GS,Gen X (1965-1980),110,23.504273504273502,89588.71
GS,Boomers (1946-1964),9,1.9230769230769231,8010.410000000001
NS,Gen X (1965-1980),473,23.744979919678716,499960.6
NS,Millennials (1981-1996),1015,50.95381526104418,898094.0
NS,Gen Z (1997-2012),397,19.929718875502008,327735.12
NS,Boomers (1946-1964),105,5.271084337349398,118224.15
NS,Silent (antes 1946),2,0.1004016064257028,2563.29
