sigla,genero,qtd_clientes,pct_clientes,valor_total
BS,Feminino,323,75.11627906976744,295878.48
BS,Masculino,106,24.651162790697676,83967.73999999999
BS,Outro,1,0.23255813953488372,1391.5900000000001
CS,Feminino,323,78.20823244552058,378775.85
CS,Masculino,90,21.791767554479417,126204.02
NK,Masculino,130,26.262626262626267,91700.29000000001
NK,Feminino,365,73.73737373737373,302809.84
GS,Masculino,831,37.23118279569893,1025590.03
GS,Feminino,1393,62.41039426523297,1477094.69
GS,Outro,8,0.35842293906810035,6932.299999999999
NR,Feminino,360,76.92307692307693,264564.06
NR,Masculino,107,22.863247863247864,71639.51000000001
NR,Outro,1,0.2136752136752137,19.9
NS,Feminino,1343,67.41967871485943,1194766.7400000002
NS,Masculino,643,32.27911646586345,647725.9299999999
NS,Nao Informado,1,0.0502008032128514,33.89
NS,Outro,5,0.25100401606425704,4050.6000000000004
