shopping,perfil_historico,ranking,segmento,valor,pct_valor,cupons,clientes
Balneário Shopping,Premium,1,Moda,478049.72000000003,45.34,1008,543
Balneário Shopping,Premium,2,Beleza e Bem-estar,114262.26,10.84,312,216
Balneário Shopping,Premium,3,Joalheria,90827.09,8.61,72,58
Balneário Shopping,Premium,4,Moda Feminina,90079.74,8.54,87,72
Balneário Shopping,Premium,5,Calçados,77054.96,7.31,160,138
Balneário Shopping,Premium,6,Infantil,48005.1,4.55,189,140
Balneário Shopping,Premium,7,Gastronomia,45186.83,4.29,447,241
Balneário Shopping,Premium,8,Esportes,43019.72,4.08,97,79
Balneário Shopping,Premium,9,Presentes e Acessórios,36628.85,3.47,119,97
Balneário Shopping,Premium,10,Casa e Decoração,31356.07,2.97,78,62
Balneário Shopping,VIP,1,Moda,1492808.5,39.59,2710,1108
Balneário Shopping,VIP,2,Joalheria,601364.76,15.95,225,171
Balneário Shopping,VIP,3,Beleza e Bem-estar,343383.66,9.11,1014,557
Balneário Shopping,VIP,4,Calçados,221023.18,5.86,366,270
Balneário Shopping,VIP,5,Moda Feminina,217860.69,5.78,199,154
Balneário Shopping,VIP,6,Eletrônicos,211198.82,5.6,72,58
Balneário Shopping,VIP,7,Gastronomia,195580.84,5.19,1933,664
Balneário Shopping,VIP,8,Casa e Decoração,172969.38,4.59,268,183
Balneário Shopping,VIP,9,Infantil,167770.21,4.45,607,333
Balneário Shopping,VIP,10,Presentes e Acessórios,147071.55,3.9,401,286
Continente Shopping,Premium,1,Moda,281091.23,43.3,817,384
Continente Shopping,Premium,2,Eletrodomésticos,56980.56,8.78,161,100
Continente Shopping,Premium,3,Telefonia,55106.72,8.49,21,20
Continente Shopping,Premium,4,Gastronomia,54277.77,8.36,908,333
Continente Shopping,Premium,5,Esportes,46464.94,7.16,172,130
Continente Shopping,Premium,6,Calçados,43305.62,6.67,190,144
Continente Shopping,Premium,7,Joalheria,32851.7,5.06,19,17
Continente Shopping,Premium,8,Ótica,28901.5,4.45,26,23
Continente Shopping,Premium,9,Beleza e Bem-estar,26657.94,4.11,196,141
Continente Shopping,Premium,10,Casa e Decoração,23588.86,3.63,42,34
Continente Shopping,VIP,1,Moda,500249.31,33.27,1579,617
Continente Shopping,VIP,2,Gastronomia,208793.91,13.89,3722,635
Continente Shopping,VIP,3,Joalheria,162909.37,10.84,72,48
Continente Shopping,VIP,4,Telefonia,152881.91,10.17,43,38
Continente Shopping,VIP,5,Calçados,93637.67,6.23,372,257
Continente Shopping,VIP,6,Eletrodomésticos,87686.49,5.83,401,195
Continente Shopping,VIP,7,Farmácias,78715.48,5.24,336,204
Continente Shopping,VIP,8,Esportes,75518.03,5.02,313,220
Continente Shopping,VIP,9,Eletrônicos,72542.8,4.83,33,14
Continente Shopping,VIP,10,Ótica,70491.93,4.69,56,49
Garten Shopping,Premium,1,Moda,254075.35,49.42,741,385
Garten Shopping,Premium,2,Calçados,42641.18,8.29,142,117
Garten Shopping,Premium,3,Gastronomia,39924.49,7.77,548,274
Garten Shopping,Premium,4,Casa e Decoração,32719.510000000002,6.36,116,87
Garten Shopping,Premium,5,Esportes,26801.2,5.21,77,69
Garten Shopping,Premium,6,Beleza e Bem-estar,26670.5,5.19,90,73
Garten Shopping,Premium,7,Presentes e Acessórios,26122.72,5.08,126,98
Garten Shopping,Premium,8,Eletrodomésticos,22785.489999999998,4.43,13,10
Garten Shopping,Premium,9,Ótica,21294.41,4.14,24,23
Garten Shopping,Premium,10,Infantil,21052.99,4.1,119,94
Garten Shopping,VIP,1,Joalheria,553515.42,30.98,97,75
Garten Shopping,VIP,2,Moda,509944.6,28.54,1525,616
Garten Shopping,VIP,3,Telefonia,147820.72,8.27,44,38
Garten Shopping,VIP,4,Gastronomia,143262.79,8.02,2179,519
Garten Shopping,VIP,5,Serviços,78199.03,4.38,145,95
Garten Shopping,VIP,6,Beleza e Bem-estar,77649.42,4.35,274,193
Garten Shopping,VIP,7,Esportes,75586.84,4.23,201,158
Garten Shopping,VIP,8,Calçados,74632.8,4.18,258,189
Garten Shopping,VIP,9,Casa e Decoração,64711.58,3.62,308,197
Garten Shopping,VIP,10,Eletrônicos,61421.26,3.44,28,25
Nações Shopping,Premium,1,Moda,84792.16,44.08,302,150
Nações Shopping,Premium,2,Casa e Decoração,28672.03,14.91,61,45
Nações Shopping,Premium,3,Gastronomia,14366.52,7.47,267,95
Nações Shopping,Premium,4,Esportes,14244.710000000001,7.41,52,46
Nações Shopping,Premium,5,Beleza e Bem-estar,13063.87,6.79,73,59
Nações Shopping,Premium,6,Calçados,9347.26,4.86,46,35
Nações Shopping,Premium,7,Infantil,8558.93,4.45,41,24
Nações Shopping,Premium,8,Calçados Femininos,8519.619999999999,4.43,13,9
Nações Shopping,Premium,9,Joalheria,5624.3,2.92,12,8
Nações Shopping,Premium,10,Eletrônicos,5159.1,2.68,3,3
Nações Shopping,VIP,1,Moda,246665.0,46.99,662,241
Nações Shopping,VIP,2,Gastronomia,51309.62,9.77,936,186
Nações Shopping,VIP,3,Casa e Decoração,48900.58,9.32,132,83
Nações Shopping,VIP,4,Joalheria,34222.729999999996,6.52,29,23
Nações Shopping,VIP,5,Esportes,31571.15,6.01,78,60
Nações Shopping,VIP,6,Beleza e Bem-estar,30090.9,5.73,160,92
Nações Shopping,VIP,7,Calçados,28353.06,5.4,99,68
Nações Shopping,VIP,8,Eletrônicos,22728.0,4.33,8,8
Nações Shopping,VIP,9,Infantil,17098.19,3.26,78,54
Nações Shopping,VIP,10,Calçados Femininos,14023.61,2.67,20,17
Neumarkt Shopping,Premium,1,Moda,151653.38,32.93,486,281
Neumarkt Shopping,Premium,2,Casa e Decoração,52771.229999999996,11.46,183,146
Neumarkt Shopping,Premium,3,Beleza e Bem-estar,42305.54,9.19,202,149
Neumarkt Shopping,Premium,4,Gastronomia,34812.29,7.56,540,248
Neumarkt Shopping,Premium,5,Calçados,34257.73,7.44,114,99
Neumarkt Shopping,Premium,6,Telefonia,33444.93,7.26,18,11
Neumarkt Shopping,Premium,7,Ótica,33151.46,7.2,31,27
Neumarkt Shopping,Premium,8,Esportes,28494.16,6.19,73,63
Neumarkt Shopping,Premium,9,Joalheria,28017.59,6.08,28,27
Neumarkt Shopping,Premium,10,Presentes e Acessórios,21625.08,4.7,53,45
Neumarkt Shopping,VIP,1,Moda,632392.76,33.3,1736,760
Neumarkt Shopping,VIP,2,Gastronomia,233487.7,12.29,3453,765
Neumarkt Shopping,VIP,3,Joalheria,187959.44,9.9,115,89
Neumarkt Shopping,VIP,4,Beleza e Bem-estar,161823.34,8.52,841,462
Neumarkt Shopping,VIP,5,Eletrônicos,160597.94,8.46,85,62
Neumarkt Shopping,VIP,6,Casa e Decoração,157742.44,8.31,587,358
Neumarkt Shopping,VIP,7,Moda Feminina,112985.41,5.95,156,113
Neumarkt Shopping,VIP,8,Esportes,94304.07,4.97,307,235
Neumarkt Shopping,VIP,9,Calçados,92228.22,4.86,297,230
Neumarkt Shopping,VIP,10,Presentes e Acessórios,65604.52,3.45,175,140
Norte Shopping,Premium,1,Eletrodomésticos,82147.42,29.58,109,83
Norte Shopping,Premium,2,Casa e Decoração,50109.93,18.04,124,91
Norte Shopping,Premium,3,Moda,46179.43,16.63,178,105
Norte Shopping,Premium,4,Supermercado,27135.77,9.77,178,78
Norte Shopping,Premium,5,Beleza e Bem-estar,16727.05,6.02,95,63
Norte Shopping,Premium,6,Papelaria,13600.65,4.9,63,54
Norte Shopping,Premium,7,Gastronomia,11961.81,4.31,244,123
Norte Shopping,Premium,8,Calçados,11078.59,3.99,50,41
Norte Shopping,Premium,9,Esportes,10660.890000000001,3.84,37,29
Norte Shopping,Premium,10,Serviços,8104.780000000001,2.92,67,57
Norte Shopping,VIP,1,Eletrodomésticos,134735.79,21.45,226,138
Norte Shopping,VIP,2,Moda,85656.51,13.64,343,195
Norte Shopping,VIP,3,Serviços,73637.76000000001,11.72,162,97
Norte Shopping,VIP,4,Casa e Decoração,73461.84,11.69,241,160
Norte Shopping,VIP,5,Supermercado,73110.0,11.64,365,158
Norte Shopping,VIP,6,Gastronomia,48623.94,7.74,992,292
Norte Shopping,VIP,7,Eletrônicos,48061.3,7.65,21,18
Norte Shopping,VIP,8,Papelaria,33226.76,5.29,136,107
Norte Shopping,VIP,9,Calçados,29203.850000000002,4.65,111,70
Norte Shopping,VIP,10,Beleza e Bem-estar,28460.87,4.53,199,131
