cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
151,1188.21,8,19,Norte Shopping,Masculino,Gastronomia,5,5,4,14,VIP
152,469.65999999999997,11,15,Garten Shopping,Feminino,Gastronomia,5,5,3,13,VIP
164,509.97,1,85,Nações Shopping,Feminino,Moda,3,1,3,7,Potencial
166,106.5,3,63,Continente Shopping,Feminino,Gastronomia,4,3,1,8,Potencial
168,45.0,1,76,Continente Shopping,Feminino,Gastronomia,4,1,1,6,Pontual
169,1598.7,14,27,Continente Shopping,Masculino,Gastronomia,5,5,5,15,VIP
170,1279.4,5,83,Nações Shopping,Masculino,Moda,3,4,5,12,Premium
177,57.97,2,47,Nações Shopping,Feminino,Gastronomia,4,2,1,7,Potencial
187,182.47,2,40,Continente Shopping,Feminino,Beleza e Bem-estar,4,2,1,7,Potencial
195,1558.83,15,29,Continente Shopping,Feminino,Moda,5,5,5,15,VIP
235,492.11,3,5,Continente Shopping,Masculino,Gastronomia,5,3,3,11,Premium
241,3006.11,9,15,Balneário Shopping,Feminino,Livrarias,5,5,5,15,VIP
259,207.99,4,1,Neumarkt Shopping,Masculino,Gastronomia,5,3,1,9,Potencial
266,353.3,4,62,Norte Shopping,Feminino,Casa e Decoração,4,4,3,11,Premium
277,712.52,10,21,Neumarkt Shopping,Feminino,Casa e Decoração,5,5,3,13,VIP
287,653.95,2,86,Neumarkt Shopping,Masculino,Beleza e Bem-estar,3,2,3,8,Potencial
344,769.54,2,86,Continente Shopping,Masculino,Esportes,3,2,4,9,Potencial
349,2691.87,15,3,Norte Shopping,Masculino,Eletrodomésticos,5,5,5,15,VIP
375,875.09,17,18,Garten Shopping,Feminino,Gastronomia,5,5,4,14,VIP
424,244.97,2,38,Continente Shopping,Masculino,Moda,5,2,2,9,Potencial
446,272.4,2,85,Nações Shopping,Masculino,Pets,3,2,2,7,Potencial
452,30.0,1,87,Balneário Shopping,Masculino,Serviços,2,1,1,4,Pontual
478,578.88,3,51,Neumarkt Shopping,Feminino,Casa e Decoração,4,3,3,10,Premium
568,1274.37,21,5,Neumarkt Shopping,Feminino,Gastronomia,5,5,4,14,VIP
617,5832.53,4,48,Garten Shopping,Feminino,Beleza e Bem-estar,5,4,5,14,VIP
649,1681.89,43,0,Continente Shopping,Masculino,Gastronomia,5,5,5,15,VIP
736,784.5900000000001,6,15,Neumarkt Shopping,Masculino,Gastronomia,5,4,4,13,VIP
752,4261.88,49,0,Neumarkt Shopping,Masculino,Gastronomia,5,5,5,15,VIP
769,2354.12,10,65,Balneário Shopping,Feminino,Moda,5,5,5,15,VIP
770,1422.55,6,36,Norte Shopping,Masculino,Casa e Decoração,5,4,5,14,VIP
780,2048.09,17,77,Continente Shopping,Feminino,Gastronomia,4,5,5,14,VIP
