quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,55.0,1.0,140.95,Norte Shopping
40%,84.0,2.0,348.44,Norte Shopping
60%,85.0,3.0,653.92,Norte Shopping
80%,87.0,6.0,1276.65,Norte Shopping
20%,51.0,1.0,195.24000000000004,Garten Shopping
40%,84.0,2.0,405.274,Garten Shopping
60%,85.0,3.0,732.62,Garten Shopping
80%,87.0,6.0,1419.404,Garten Shopping
20%,36.0,1.0,124.16800000000003,Nações Shopping
40%,81.0,2.0,329.54,Nações Shopping
60%,85.0,3.0,571.2199999999999,Nações Shopping
80%,87.0,5.0,1087.4960000000003,Nações Shopping
20%,38.0,1.0,187.3,Continente Shopping
40%,83.0,2.0,403.3,Continente Shopping
60%,86.0,4.0,720.96,Continente Shopping
80%,87.0,7.0,1428.15,Continente Shopping
20%,70.0,1.0,275.928,Balneário Shopping
40%,85.0,2.0,558.0,Balneário Shopping
60%,86.0,3.0,1009.814,Balneário Shopping
80%,87.0,5.0,2053.554,Balneário Shopping
20%,49.0,1.0,209.884,Neumarkt Shopping
40%,85.0,2.0,429.8,Neumarkt Shopping
60%,86.0,4.0,752.708,Neumarkt Shopping
80%,87.0,7.0,1508.2040000000004,Neumarkt Shopping
