segmento,valor,clientes
Moda,145248.8,210
Beleza e Bem-estar,42100.22,124
Calçados,32565.1,65
Gastronomia,26934.46,153
Infantil,21805.98,58
Moda Feminina,21505.65,22
Casa e Decoração,18998.11,34
Esportes,15817.39,36
Telefonia,13696.0,4
Joalheria,13487.720000000001,10
Eletrônicos,11422.4,11
Presentes e Acessórios,10749.74,39
Eletrodomésticos,10725.81,6
Papelaria,10688.48,49
Livrarias,8498.65,40
Ótica,2596.5,3
Farmácias,1832.74,10
Supermercado,1823.8,23
Serviços,243.5,2
Gastronomia - Restaurante,42.0,1
