quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,10.0,1.0,216.2000000000001,Global
40%,19.0,1.0,378.40000000000003,Global
60%,30.0,1.0,652.994,Global
80%,49.0,2.0,1238.450000000002,Global
