shopping,perfil_historico,ranking,segmento,valor,pct_valor,cupons,clientes
Balneário Shopping,Pontual,1,Moda,164910.84,93.15,442,380
Balneário Shopping,Pontual,2,Calçados,4067.55,2.3,7,6
Balneário Shopping,Pontual,3,Gastronomia,3413.69,1.93,13,11
Balneário Shopping,Pontual,4,Presentes e Acessórios,1433.99,0.81,4,4
Balneário Shopping,Pontual,5,Infantil,1054.4,0.6,5,4
Balneário Shopping,Pontual,6,Beleza e Bem-estar,879.6500000000001,0.5,6,6
Balneário Shopping,Pontual,7,Moda Feminina,629.1,0.36,1,1
Balneário Shopping,Pontual,8,Esportes,609.95,0.34,1,1
Balneário Shopping,Pontual,9,Supermercado,44.98,0.03,1,1
Balneário Shopping,Potencial,1,Moda,251253.65,94.04,405,296
Balneário Shopping,Potencial,2,Joalheria,5547.0,2.08,7,7
Balneário Shopping,Potencial,3,Moda Feminina,4479.0,1.68,4,3
Balneário Shopping,Potencial,4,Presentes e Acessórios,1603.0,0.6,5,3
Balneário Shopping,Potencial,5,Calçados,1577.97,0.59,4,4
Balneário Shopping,Potencial,6,Gastronomia,1490.09,0.56,7,5
Balneário Shopping,Potencial,7,Infantil,573.7,0.21,3,3
Balneário Shopping,Potencial,8,Esportes,399.99,0.15,1,1
Balneário Shopping,Potencial,9,Farmácias,171.46,0.06,2,2
Balneário Shopping,Potencial,10,Beleza e Bem-estar,91.0,0.03,1,1
Balneário Shopping,Premium,1,Moda,256847.13,94.56,421,288
Balneário Shopping,Premium,2,Joalheria,4995.0,1.84,3,2
Balneário Shopping,Premium,3,Gastronomia,3555.8,1.31,14,11
Balneário Shopping,Premium,4,Calçados,1993.43,0.73,4,4
Balneário Shopping,Premium,5,Beleza e Bem-estar,1571.9,0.58,6,5
Balneário Shopping,Premium,6,Infantil,1138.58,0.42,4,3
Balneário Shopping,Premium,7,Presentes e Acessórios,640.0,0.24,1,1
Balneário Shopping,Premium,8,Farmácias,410.89,0.15,3,3
Balneário Shopping,Premium,9,Livrarias,380.0,0.14,3,1
