cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
135214,1423.9599999999998,12,8,Garten Shopping,Masculino,Moda,5,5,5,15,VIP
135233,607.0,1,37,Balneário Shopping,Feminino,Moda,2,2,3,7,Potencial
135244,74.95,1,37,Garten Shopping,Feminino,Casa e Decoração,2,2,1,5,Pontual
135249,59.0,1,36,Balneário Shopping,Feminino,Moda,2,2,1,5,Pontual
135263,79.99,1,36,Continente Shopping,Feminino,Moda,2,2,1,5,Pontual
135272,1347.5,8,24,Neumarkt Shopping,Feminino,Presentes e Acessórios,3,5,5,13,VIP
135295,229.0,1,37,Balneário Shopping,Feminino,Moda,2,2,2,6,Pontual
135301,508.5,1,35,Balneário Shopping,Feminino,Moda,2,2,3,7,Potencial
135304,538.0,1,37,Balneário Shopping,Feminino,Moda,2,2,3,7,Potencial
135321,264.36,1,37,Neumarkt Shopping,Feminino,Beleza e Bem-estar,2,2,2,6,Pontual
135325,1348.0,1,37,Balneário Shopping,Feminino,Calçados,2,2,5,9,Potencial
135328,59.9,1,37,Neumarkt Shopping,Feminino,Moda,2,2,1,5,Pontual
135332,2259.8,5,37,Continente Shopping,Masculino,Moda,2,5,5,12,Premium
135387,259.5,1,33,Balneário Shopping,Feminino,Moda,2,2,2,6,Pontual
135405,3221.33,21,1,Garten Shopping,Feminino,Gastronomia,5,5,5,15,VIP
135410,1775.0,1,12,Balneário Shopping,Feminino,Moda,4,2,5,11,Premium
135417,1954.25,1,36,Balneário Shopping,Masculino,Moda,2,2,5,9,Potencial
135419,358.5,1,15,Balneário Shopping,Masculino,Moda,4,2,2,8,Potencial
135422,515.0,2,35,Balneário Shopping,Masculino,Moda,2,4,3,9,Potencial
135435,762.0,2,36,Balneário Shopping,Feminino,Moda,2,4,4,10,Premium
135462,1124.0,2,36,Balneário Shopping,Feminino,Moda,2,4,4,10,Premium
135503,338.0,1,36,Balneário Shopping,Feminino,Moda,2,2,2,6,Pontual
135516,626.5,1,35,Balneário Shopping,Feminino,Moda,2,2,3,7,Potencial
135521,745.92,1,36,Continente Shopping,Feminino,Moda,2,2,4,8,Potencial
135535,1021.89,1,36,Garten Shopping,Feminino,Moda,2,2,4,8,Potencial
135595,1791.47,3,2,Norte Shopping,Feminino,Moda,5,5,5,15,VIP
135651,629.1,1,36,Balneário Shopping,Feminino,Moda Feminina,2,2,3,7,Potencial
135781,779.8,3,20,Balneário Shopping,Feminino,Eletrodomésticos,3,5,4,12,Premium
135842,460.5,1,36,Balneário Shopping,Feminino,Moda,2,2,3,7,Potencial
135867,379.0,1,36,Balneário Shopping,Feminino,Moda,2,2,3,7,Potencial
135879,693.5,1,36,Balneário Shopping,Masculino,Moda,2,2,4,8,Potencial
135913,199.0,1,36,Balneário Shopping,Feminino,Moda,2,2,1,5,Pontual
135914,952.5,2,28,Balneário Shopping,Feminino,Moda,3,4,4,11,Premium
135927,5038.0,3,32,Balneário Shopping,Feminino,Moda,2,5,5,12,Premium
135935,609.8,1,36,Continente Shopping,Feminino,Calçados,2,2,3,7,Potencial
135959,144.0,1,19,Garten Shopping,Feminino,Telefonia,3,2,1,6,Pontual
135984,847.5,1,36,Balneário Shopping,Masculino,Moda,2,2,4,8,Potencial
135985,687.5,1,25,Balneário Shopping,Masculino,Moda,3,2,4,9,Potencial
136052,1035.5,1,36,Balneário Shopping,Feminino,Moda,2,2,4,8,Potencial
136087,1968.0,1,36,Garten Shopping,Feminino,Eletrônicos,2,2,5,9,Potencial
136129,1225.0,1,35,Balneário Shopping,Feminino,Moda,2,2,4,8,Potencial
136132,119.94,1,36,Norte Shopping,Masculino,Eletrodomésticos,2,2,1,5,Pontual
136144,1275.5,4,22,Balneário Shopping,Masculino,Moda,3,5,5,13,VIP
136152,1723.12,1,36,Norte Shopping,Masculino,Telefonia,2,2,5,9,Potencial
136181,713.0,1,26,Balneário Shopping,Feminino,Moda,3,2,4,9,Potencial
136238,448.5,1,36,Balneário Shopping,Feminino,Moda,2,2,3,7,Potencial
136245,299.79,2,36,Nações Shopping,Feminino,Esportes,2,4,2,8,Potencial
136252,299.9,1,29,Continente Shopping,Masculino,Calçados,3,2,2,7,Potencial
136254,817.0,2,4,Balneário Shopping,Masculino,Moda,5,4,4,13,VIP
136280,115.0,1,35,Neumarkt Shopping,Masculino,Gastronomia,2,2,1,5,Pontual
136306,648.0,1,35,Balneário Shopping,Feminino,Moda,2,2,3,7,Potencial
136374,9.99,1,35,Norte Shopping,Feminino,Eletrodomésticos,2,2,1,5,Pontual
136375,249.99,1,23,Nações Shopping,Masculino,Esportes,3,2,2,7,Potencial
136390,276.2,2,34,Balneário Shopping,Feminino,Moda,2,4,2,8,Potencial
136406,1795.08,5,35,Neumarkt Shopping,Feminino,Moda,2,5,5,12,Premium
136423,507.5,1,21,Balneário Shopping,Feminino,Moda,3,2,3,8,Potencial
136457,388.5,1,35,Balneário Shopping,Masculino,Moda,2,2,3,7,Potencial
136463,279.0,1,30,Balneário Shopping,Feminino,Moda,3,2,2,7,Potencial
136488,717.5,1,35,Balneário Shopping,Masculino,Moda,2,2,4,8,Potencial
136516,2861.57,13,28,Garten Shopping,Feminino,Moda,3,5,5,13,VIP
136518,764.91,1,35,Continente Shopping,Masculino,Moda,2,2,4,8,Potencial
136530,129.5,1,35,Balneário Shopping,Feminino,Moda,2,2,1,5,Pontual
136534,504.5,1,35,Balneário Shopping,Masculino,Moda,2,2,3,7,Potencial
136537,647.8,1,35,Garten Shopping,Masculino,Moda,2,2,3,7,Potencial
136544,1316.0,1,30,Balneário Shopping,Feminino,Moda,3,2,5,10,Premium
136549,1175.25,4,35,Norte Shopping,Feminino,Beleza e Bem-estar,2,5,4,11,Premium
136677,189.0,1,28,Balneário Shopping,Masculino,Moda,3,2,1,6,Pontual
136680,999.6,1,35,Balneário Shopping,Feminino,Calçados,2,2,4,8,Potencial
136713,245.5,1,35,Balneário Shopping,Masculino,Moda,2,2,2,6,Pontual
136774,3182.0,1,35,Garten Shopping,Feminino,Joalheria,2,2,5,9,Potencial
136797,519.25,1,20,Balneário Shopping,Feminino,Moda,3,2,3,8,Potencial
136798,1274.5,1,26,Balneário Shopping,Feminino,Moda,3,2,5,10,Premium
136816,754.5,1,35,Balneário Shopping,Feminino,Moda,2,2,4,8,Potencial
136834,1370.0,2,35,Balneário Shopping,Feminino,Moda,2,4,5,11,Premium
136887,219.85,2,12,Garten Shopping,Feminino,Calçados,4,4,2,10,Premium
136897,299.9,1,35,Balneário Shopping,Feminino,Infantil,2,2,2,6,Pontual
136902,5907.0,2,35,Continente Shopping,Masculino,Telefonia,2,4,5,11,Premium
136905,251.93,1,35,Garten Shopping,Masculino,Moda,2,2,2,6,Pontual
136914,239.98,2,29,Continente Shopping,Masculino,Moda,3,4,2,9,Potencial
136925,652.99,4,19,Balneário Shopping,Feminino,Moda,3,5,3,11,Premium
136947,199.5,1,27,Balneário Shopping,Masculino,Moda,3,2,1,6,Pontual
137019,180.0,1,35,Continente Shopping,Feminino,Presentes e Acessórios,2,2,1,5,Pontual
137021,2001.0,2,13,Balneário Shopping,Feminino,Moda,4,4,5,13,VIP
137033,268.0,1,35,Balneário Shopping,Feminino,Moda,2,2,2,6,Pontual
137078,558.5,1,35,Balneário Shopping,Masculino,Moda,2,2,3,7,Potencial
137123,121.8,1,35,Garten Shopping,Feminino,Papelaria,2,2,1,5,Pontual
137132,338.0,1,35,Garten Shopping,Feminino,Beleza e Bem-estar,2,2,2,6,Pontual
137173,18.0,1,14,Neumarkt Shopping,Feminino,Gastronomia,4,2,1,7,Potencial
137184,299.9,1,17,Norte Shopping,Masculino,Eletrodomésticos,4,2,2,8,Potencial
137234,358.0,1,35,Balneário Shopping,Masculino,Moda,2,2,2,6,Pontual
137237,90.96,1,19,Balneário Shopping,Masculino,Farmácias,3,2,1,6,Pontual
137250,772.46,1,13,Neumarkt Shopping,Feminino,Gastronomia,4,2,4,10,Premium
137300,129.5,1,34,Balneário Shopping,Feminino,Moda,2,2,1,5,Pontual
137311,2151.0,1,35,Balneário Shopping,Feminino,Joalheria,2,2,5,9,Potencial
137347,169.0,1,22,Balneário Shopping,Feminino,Moda,3,2,1,6,Pontual
137353,894.6800000000001,11,1,Continente Shopping,Feminino,Moda,5,5,4,14,VIP
137355,303.98,2,35,Balneário Shopping,Masculino,Moda,2,4,2,8,Potencial
137356,59.99,1,4,Balneário Shopping,Feminino,Esportes,5,2,1,8,Potencial
137360,268.5,1,21,Balneário Shopping,Feminino,Moda,3,2,2,7,Potencial
137368,341.78000000000003,4,34,Continente Shopping,Outro,Beleza e Bem-estar,2,5,2,9,Potencial
137375,1575.25,5,21,Balneário Shopping,Feminino,Moda,3,5,5,13,VIP
137413,411.1,2,15,Balneário Shopping,Masculino,Beleza e Bem-estar,4,4,3,11,Premium
137452,4302.5,2,35,Balneário Shopping,Feminino,Joalheria,2,4,5,11,Premium
137466,255.94,1,35,Continente Shopping,Feminino,Moda,2,2,2,6,Pontual
137470,478.5,1,35,Balneário Shopping,Feminino,Moda,2,2,3,7,Potencial
137483,2065.27,4,12,Garten Shopping,Masculino,Moda,4,5,5,14,VIP
137502,493.5,1,23,Balneário Shopping,Feminino,Moda,3,2,3,8,Potencial
137508,56.95,1,34,Balneário Shopping,Feminino,Moda,2,2,1,5,Pontual
137512,279.5,1,20,Balneário Shopping,Masculino,Moda,3,2,2,7,Potencial
137520,468.62,2,32,Continente Shopping,Feminino,Calçados,2,4,3,9,Potencial
137524,1063.6,1,31,Garten Shopping,Feminino,Moda,2,2,4,8,Potencial
137539,558.5,1,34,Balneário Shopping,Masculino,Moda,2,2,3,7,Potencial
137552,1633.25,5,5,Balneário Shopping,Feminino,Moda,5,5,5,15,VIP
137559,149.9,1,11,Neumarkt Shopping,Masculino,Moda,4,2,1,7,Potencial
137610,229.0,1,13,Balneário Shopping,Feminino,Moda,4,2,2,8,Potencial
137627,820.89,1,34,Continente Shopping,Feminino,Moda,2,2,4,8,Potencial
