shopping_principal,qtd_clientes,valor_total,ticket_medio,vip_hist,vip_valor_hist,vip_ticket_hist,premium_hist,premium_valor_hist,premium_ticket_hist,potencial_hist,potencial_valor_hist,potencial_ticket_hist,pontual_hist,pontual_valor_hist,pontual_ticket_hist,vip_periodo,vip_valor_periodo,vip_ticket_periodo,premium_periodo,premium_valor_periodo,premium_ticket_periodo,potencial_periodo,potencial_valor_periodo,potencial_ticket_periodo,pontual_periodo,pontual_valor_periodo,pontual_ticket_periodo,high_spenders,pct_valor
Balneário Shopping,1737,1766986.11,623.9991029021992,720,1050733.81,744.25415899891,299,272195.9,624.3627118171684,311,267012.25,657.0336165977644,407,177044.15,385.7531736281736,199,756028.52,1682.667042792216,335,468089.99,859.6405902252806,481,344208.24,578.0815627165628,722,198659.36,253.4610399353647,186,65.22
Continente Shopping,457,373662.38,624.9463318301168,106,213454.42,1611.0578218175954,61,43560.26,357.16509788997564,94,53145.36,393.80098352445424,196,63502.34,285.83663832199545,22,202432.08000000002,7224.893777210609,20,28017.3,572.6282886599512,102,69619.33,485.1103866784087,313,73593.67,209.96480937167198,22,13.79
Garten Shopping,164,302544.22,1459.7310949812384,48,225207.69,3643.122366720085,37,38007.35,872.9758281358281,45,31608.85,589.1222613756613,34,7720.33,168.10054621848738,21,226796.98,8708.91559218559,28,40043.24,1060.7962193223443,28,20685.0,496.74289285714286,87,15019.0,148.24801149425286,21,11.17
Neumarkt Shopping,180,188997.19,635.6562843624785,78,131686.78,905.9598894323374,28,24952.29,727.5803928571429,29,20857.73,484.15502873563224,45,11500.39,207.56695502645502,28,126339.4,2568.7684484563056,16,23381.57,822.0259344362745,26,20048.75,521.7407568265069,110,19227.47,143.40854545454545,28,6.98
Norte Shopping,61,47598.8,554.0492634660421,19,16410.5,339.0279949874687,6,11202.39,1411.7427777777777,14,12792.45,850.7866071428572,22,7193.46,317.00018181818183,8,23124.34,1822.1299107142856,7,10627.63,1003.4806972789116,8,6341.55,669.3816964285714,38,7505.28,180.01440350877192,8,1.76
Nações Shopping,66,29544.94,400.7043867243867,8,4900.450000000001,509.4324404761905,13,5654.29,412.79076923076923,12,8036.11,622.4991666666666,33,10954.09,288.9321212121212,2,4671.71,2335.855,4,5817.030000000001,1454.2575000000002,14,8865.56,529.8321088435374,46,10190.64,185.65434782608696,2,1.09
