quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,12.0,1.0,139.918,Continente Shopping
40%,22.0,1.0,289.342,Continente Shopping
60%,36.0,1.0,399.832,Continente Shopping
80%,61.0,2.0,650.718,Continente Shopping
20%,9.0,1.0,260.25,Balneário Shopping
40%,18.0,1.0,479.0,Balneário Shopping
60%,31.0,1.0,797.8,Balneário Shopping
80%,52.0,2.0,1393.5,Balneário Shopping
20%,8.0,1.0,99.72000000000001,Neumarkt Shopping
40%,17.60000000000001,1.0,219.01200000000003,Neumarkt Shopping
60%,25.39999999999999,1.0,414.75999999999993,Neumarkt Shopping
80%,39.0,2.0,1377.8000000000027,Neumarkt Shopping
20%,8.0,1.0,88.96000000000001,Garten Shopping
40%,13.200000000000003,1.0,260.122,Garten Shopping
60%,21.0,1.0,673.504,Garten Shopping
80%,35.0,2.0,1461.9600000000005,Garten Shopping
20%,8.0,1.0,119.98,Norte Shopping
40%,14.0,1.0,258.78,Norte Shopping
60%,21.0,1.0,479.88,Norte Shopping
80%,36.0,2.0,1399.0,Norte Shopping
20%,11.0,1.0,110.95,Nações Shopping
40%,20.0,1.0,249.99,Nações Shopping
60%,24.0,1.0,405.98,Nações Shopping
80%,43.0,2.0,598.97,Nações Shopping
