quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,3.0,1.0,229.74,Garten Shopping
40%,5.0,2.0,438.93,Garten Shopping
60%,9.0,3.0,704.94,Garten Shopping
80%,12.0,4.0,1285.354,Garten Shopping
20%,2.0,1.0,158.72000000000003,Nações Shopping
40%,5.0,2.0,358.04000000000013,Nações Shopping
60%,8.0,2.0,559.8399999999999,Nações Shopping
80%,11.0,4.0,1004.2280000000003,Nações Shopping
20%,2.0,1.0,166.38600000000002,Continente Shopping
40%,4.0,2.0,392.2880000000001,Continente Shopping
60%,8.0,3.0,635.034,Continente Shopping
80%,15.400000000000091,5.0,1138.1280000000004,Continente Shopping
20%,2.0,1.0,259.89,Balneário Shopping
40%,4.0,2.0,558.99,Balneário Shopping
60%,8.0,3.0,936.89,Balneário Shopping
80%,17.0,5.0,1775.55,Balneário Shopping
20%,2.0,1.0,193.354,Norte Shopping
40%,4.0,1.0,352.16400000000004,Norte Shopping
60%,7.599999999999966,2.0,564.694,Norte Shopping
80%,11.0,4.0,1085.5200000000002,Norte Shopping
20%,2.0,1.0,216.59,Neumarkt Shopping
40%,4.0,2.0,444.508,Neumarkt Shopping
60%,8.0,3.0,753.146,Neumarkt Shopping
80%,13.0,5.0,1355.0920000000008,Neumarkt Shopping
