faixa_etaria,segmento,valor,clientes,ranking
Millennials (1981-1996),Moda,1133943.65,1907,1
Millennials (1981-1996),Gastronomia,396245.04,2106,2
Millennials (1981-1996),Calçados,243793.45,589,3
Millennials (1981-1996),Esportes,220539.6,530,4
Millennials (1981-1996),Beleza e Bem-estar,212371.19,825,5
Gen X (1965-1980),Moda,440232.82,661,1
Gen X (1965-1980),Gastronomia,181086.53,731,2
Gen X (1965-1980),Beleza e Bem-estar,103404.35,318,3
Gen X (1965-1980),Joalheria,99738.72,54,4
Gen X (1965-1980),Esportes,97810.1,228,5
Gen Z (1997-2012),Moda,374352.9,611,1
Gen Z (1997-2012),Gastronomia,197490.21,789,2
Gen Z (1997-2012),Beleza e Bem-estar,68196.68,312,3
Gen Z (1997-2012),Esportes,67901.79000000001,153,4
Gen Z (1997-2012),Casa e Decoração,59183.81,210,5
Boomers (1946-1964),Moda,48390.89,82,1
Boomers (1946-1964),Ótica,21496.01,5,2
Boomers (1946-1964),Gastronomia,17971.95,82,3
Boomers (1946-1964),Eletrodomésticos,13379.17,18,4
Boomers (1946-1964),Calçados,11361.6,22,5
Nao Informado,Serviços,4094.22,1,1
Nao Informado,Moda,3240.48,5,2
Nao Informado,Beleza e Bem-estar,1638.0,2,3
Nao Informado,Gastronomia,1309.25,6,4
Nao Informado,Eletrônicos,1068.8,1,5
Silent (antes 1946),Beleza e Bem-estar,1084.99,1,1
Silent (antes 1946),Joalheria,953.0,1,2
Silent (antes 1946),Gastronomia,560.42,2,3
Silent (antes 1946),Moda,485.82,1,4
Silent (antes 1946),Farmácias,83.98,1,5
