dia_semana,valor,transacoes
Domingo,1148746.16,3559
Quarta,526194.69,1522
Quinta,526465.16,1648
Sabado,1257306.92,3589
Segunda,604741.33,1898
Sexta,597281.09,1840
Terca,541430.55,1613
