segmento,valor,clientes
Moda,1992251.81,2736
Joalheria,800119.18,414
Calçados,411982.32,923
Esportes,311556.16000000003,664
Casa e Decoração,255530.35,757
Gastronomia,227326.29,1468
Beleza e Bem-estar,218016.16,571
Telefonia,176272.97,58
Moda Feminina,173834.81,185
Presentes e Acessórios,158531.17,605
Ótica,91100.22,101
Eletrônicos,90687.84,84
Infantil,68305.83,342
Farmácias,62249.0,346
Papelaria,47150.17,276
Eletrodomésticos,35095.700000000004,23
Livrarias,33572.28,275
Pets,31031.47,243
Kids,5732.48,64
Serviços,4662.36,2
