faixa_etaria,qtd_clientes,valor_total,pct_clientes
Boomers (1946-1964),3953,9025777.43,8.717417192255105
Gen X (1965-1980),12351,32348536.92,27.237242535173994
Gen Z (1997-2012),7034,11347608.73,15.511842279363119
Millennials (1981-1996),21824,50881453.4,48.12772901689234
Nao Informado,52,43490.71,0.11467384113262472
Silent (antes 1946),132,245419.31,0.2910951351828166
