segmento,valor,clientes
Moda,40332395.82,29257
Joalheria,12506646.32,3906
Beleza e Bem-estar,9395318.47,14183
Calçados,6756256.2,10618
Moda Feminina,5008766.66,3245
Gastronomia,4980074.43,15449
Eletrônicos,3833514.07,1357
Esportes,3503178.74,5950
Infantil,3385382.64,6706
Casa e Decoração,3346124.19,3229
Ótica,2778491.86,1861
Presentes e Acessórios,2398218.03,5625
Calçados Femininos,1702186.44,2631
Telefonia,1520624.54,392
Livrarias,834896.93,4223
Eletrodomésticos,807028.06,353
Serviços,258201.03,1902
Não informado,149647.76,226
Supermercado,136216.93,1108
Farmácias,82630.06,418
