segmento,valor,clientes
Moda,5425502.13,7801
Joalheria,2056900.71,1205
Beleza e Bem-estar,1698659.51,4530
Calçados,1239368.51,2928
Casa e Decoração,1185003.87,3057
Gastronomia,1180771.7,5073
Esportes,776702.81,2005
Telefonia,709788.9,192
Presentes e Acessórios,696738.6,1406
Eletrônicos,670211.45,450
Ótica,656609.18,537
Moda Feminina,576261.73,556
Serviços,568867.95,1123
Infantil,510676.37,1513
Livrarias,384681.42,2155
Papelaria,183751.44,1193
Eletrodomésticos,162991.0,1262
Farmácias,137758.09,827
Pets,104423.37,581
Salão de Beleza | Barbearia,9932.99,45
