loja,valor,clientes
Renner,1116872.48,2886
Vivara,1066244.91,405
Havan,815256.06,2145
Centauro,622542.89,1597
Cvc Viagens,539564.95,44
Riachuelo,519546.86,1675
Idéli.Oui,474976.78,540
Ri Happy,471478.58,1403
Shoulder,407764.85,385
Hering Store,404479.28,1121
Cia do Homem,391503.58,609
Livrarias Catarinense,384681.42,2155
Life by Vivara,345610.57,487
Maze,323920.74,310
Brooksfield,323874.46,289
iPlace Mobile,320589.68,111
Le Lis ,318948.24,204
Avatim,315580.0,1319
Track & Field,301268.72,405
LINDT,298991.08,1213
