segmento,valor,clientes
Moda,1657255.72,2446
Beleza e Bem-estar,491905.85,1322
Joalheria,445225.19,316
Telefonia,428335.13,114
Casa e Decoração,384916.24,1013
Calçados,339398.79,841
Gastronomia,338747.23,1689
Serviços,326899.93,419
Ótica,302269.89,216
Eletrônicos,234490.74,128
Moda Feminina,197117.55,205
Esportes,196715.49,507
Presentes e Acessórios,185504.65,328
Livrarias,99589.64,619
Eletrodomésticos,97718.52,473
Infantil,77282.07,300
Farmácias,61602.19,359
Papelaria,59431.55,363
Pets,48918.54,238
Salão de Beleza | Barbearia,3046.0,16
