loja,valor,clientes
Renner,333186.99,925
Cvc Viagens,316864.93,24
Havan,273499.28,667
Vivara,225787.51,111
TIM,181661.08,47
Centauro,163967.26,415
Cia do Homem,161223.88,162
Idéli.Oui,155183.56,141
Le Lis ,146982.61000000002,87
Shoulder,144063.28,140
Riachuelo,142700.13,513
Brooksfield,141861.85,71
Vivo,140947.0,34
iPlace Mobile,128246.33,45
Óticas Carol,120517.76,71
Track & Field,108162.13,120
Livrarias Catarinense,99589.64,619
Lojas Americanas,97718.52,473
Maze,88776.04,89
Hering Store,86512.94,245
