segmento,valor,clientes
Moda,1405977.27,1297
Joalheria,302649.2,107
Beleza e Bem-estar,292416.88,622
Calçados,232461.66,344
Moda Feminina,161373.18,121
Gastronomia,154890.61,680
Infantil,147063.89,352
Ótica,135891.53,99
Esportes,100051.49,218
Eletrônicos,92975.52,41
Casa e Decoração,66082.26,114
Presentes e Acessórios,57579.76,194
Telefonia,46467.0,9
Eletrodomésticos,35236.89,16
Papelaria,32710.239999999998,177
Livrarias,26308.46,203
Serviços,17980.39,354
Supermercado,12278.56,145
Calçados Femininos,9460.85,5
Farmácias,5476.42,50
