dia_semana,valor,transacoes
Domingo,677565.11,2068
Quarta,391325.08,981
Quinta,337082.57,893
Sabado,614984.04,1721
Segunda,490334.59,1356
Sexta,411483.3,1118
Terca,415955.34,1093
