faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),143,63,0,0
Gen X (1965-1980),635,208,0,1
Gen Z (1997-2012),193,60,1,0
Millennials (1981-1996),978,372,3,2
Nao Informado,1,0,2,0
Silent (antes 1946),2,1,0,0
