faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),138641.61000000002,56380.96,0.0,0.0
Gen X (1965-1980),720244.41,252196.12,0.0,341.78000000000003
Gen Z (1997-2012),194963.69,67209.24,658.5,0.0
Millennials (1981-1996),911363.22,361843.5,570.08,507.9
Nao Informado,294.5,0.0,1124.98,0.0
Silent (antes 1946),2433.4,559.75,0.0,0.0
