genero,segmento,valor,clientes,ranking
Feminino,Moda,1284686.83,1544,1
Feminino,Joalheria,201937.46,45,2
Feminino,Serviços,135866.48,5,3
Feminino,Telefonia,90899.28,32,4
Feminino,Calçados,75650.71,155,5
Masculino,Moda,403042.86,482,1
Masculino,Telefonia,97172.43,18,2
Masculino,Joalheria,91383.35,13,3
Masculino,Calçados,44642.369999999995,91,4
Masculino,Serviços,26942.29,2,5
Outro,Calçados,449.89,2,1
Outro,Moda,258.0,1,2
Outro,Farmácias,67.79,1,3
Outro,Gastronomia,45.0,1,4
Outro,Beleza e Bem-estar,29.0,1,5
Nao Informado,Moda,1650.96,4,1
Nao Informado,Livrarias,322.92,2,2
Nao Informado,Joalheria,201.6,1,3
Nao Informado,Eletrodomésticos,79.98,2,4
Nao Informado,Gastronomia,54.4,1,5
