shopping,sigla,transacoes,clientes,valor_total,ticket_medio,idade_media,threshold_hs,qtd_high_spenders
Balneário Shopping,BS,800,461,375660.83999999997,814.8825162689805,42.53260869565217,959.8,47
Continente Shopping,CS,2939,1742,1767091.1099999999,1014.4036222732491,42.79827586206896,2127.2000000000035,175
Neumarkt Shopping,NK,400,187,182486.78,975.8651336898396,43.411764705882355,2539.0000000000005,19
Garten Shopping,GS,111,68,51213.77,753.1436764705882,42.220588235294116,2136.603000000001,7
Norte Shopping,NR,338,166,303333.73,1827.311626506024,41.78915662650602,2826.4350000000004,17
Nações Shopping,NS,96,68,29547.409999999996,434.52073529411757,40.5,751.9640000000011,7
