faixa_etaria,qtd_hs,valor_total,ticket_medio,pct_hs
Boomers (1946-1964),13,77164.39,5935.722307692307,4.868913857677903
Gen X (1965-1980),88,497060.29,5648.412386363636,32.958801498127336
Gen Z (1997-2012),24,138440.04,5768.335,8.98876404494382
Millennials (1981-1996),141,598227.01,4242.74475177305,52.80898876404494
Silent (antes 1946),1,2253.0,2253.0,0.37453183520599254
