loja,valor,clientes
Havan,105766.94,283
Atacadão,76361.01,268
Riachuelo,42242.229999999996,140
Renner,38885.18,119
Pittol,32862.69,119
Magazine Luiza,27200.59,15
Centauro,20452.940000000002,62
Superlegal Brinquedos,19045.68,74
Game Mania,18851.61,6
Casas Bahia,16257.39,13
Boiko Joalheiros,16177.6,4
Lojas Americanas,15378.59,194
Cobasi,14522.28,93
Idéli.oui,14311.539999999999,43
Empório DuHomem,11868.0,7
Avatim,11207.4,31
World Tennis,11052.810000000001,16
Mc Donalds ,10697.76,103
Burger King,9866.24,78
Kalunga,8974.95,88
