segmento,valor,clientes
Moda,245631.12,390
Gastronomia,94042.72,460
Casa e Decoração,47118.88,134
Calçados,40720.86,114
Joalheria,35199.53,19
Infantil,34511.91,136
Beleza e Bem-estar,25477.09,123
Ótica,18036.98,10
Esportes,17304.71,50
Farmácias,14652.23,102
Moda Feminina,14018.71,24
Presentes e Acessórios,13849.4,59
Lazer,11248.1,13
Papelaria,8877.02,100
Pets,7525.65,67
Livrarias,7382.01,71
Eletrodomésticos,5129.8,4
Kids,3161.28,36
Gastronomia - Sorvetes,2778.34,50
Gastronomia - Restaurante,1862.5,34
