segmento,valor,clientes
Moda,330920.34,607
Gastronomia,150447.52,793
Casa e Decoração,110618.48,340
Beleza e Bem-estar,92767.24,324
Calçados,91408.01,240
Esportes,71146.28,152
Joalheria,63279.67,62
Moda Feminina,62328.61,60
Infantil,60545.9,176
Telefonia,37668.27,9
Ótica,34328.3,20
Pets,28630.19,122
Livrarias,27788.06,184
Farmácias,23678.06,167
Eletrodomésticos,23257.67,285
Papelaria,20906.62,172
Presentes e Acessórios,20029.37,67
Gastronomia - Restaurante,8823.61,29
Eletrônicos,7411.8,13
Lazer,3181.8,23
