faixa_etaria,dia_semana,valor,transacoes
16-24 (Gen Z),Domingo,409166.94,1372
16-24 (Gen Z),Quarta,152314.43,528
16-24 (Gen Z),Quinta,221364.57,762
16-24 (Gen Z),Sabado,376446.34,1210
16-24 (Gen Z),Segunda,215931.03,691
16-24 (Gen Z),Sexta,258066.41,903
16-24 (Gen Z),Terca,163443.55,581
25-39 (Millennials),Domingo,3305487.48,10378
25-39 (Millennials),Quarta,959061.35,2932
25-39 (Millennials),Quinta,1657583.05,4563
25-39 (Millennials),Sabado,2697218.31,8531
25-39 (Millennials),Segunda,1392262.84,4434
25-39 (Millennials),Sexta,2006428.08,6168
25-39 (Millennials),Terca,1242565.14,3552
40-54 (Gen X),Domingo,3550602.53,10303
40-54 (Gen X),Quarta,1089105.9,3346
40-54 (Gen X),Quinta,2072058.97,5268
40-54 (Gen X),Sabado,3221281.5,9669
40-54 (Gen X),Segunda,1904912.21,5365
40-54 (Gen X),Sexta,2490524.52,7348
40-54 (Gen X),Terca,1534874.06,4364
55-69 (Boomers),Domingo,1148952.5,2821
55-69 (Boomers),Quarta,364857.27,1119
55-69 (Boomers),Quinta,605212.65,1626
55-69 (Boomers),Sabado,997877.0,2749
55-69 (Boomers),Segunda,601940.17,1502
55-69 (Boomers),Sexta,765515.48,2082
55-69 (Boomers),Terca,597263.86,1460
70+ (Silent),Domingo,144391.63,453
70+ (Silent),Quarta,70421.22,167
70+ (Silent),Quinta,77734.07,170
70+ (Silent),Sabado,169344.24,452
70+ (Silent),Segunda,130615.37,188
70+ (Silent),Sexta,410093.56,452
70+ (Silent),Terca,104143.2,227
Nao Informado,Domingo,3055.48,19
Nao Informado,Quarta,1226.96,5
Nao Informado,Quinta,617.85,5
Nao Informado,Sabado,5339.64,16
Nao Informado,Segunda,3306.7200000000003,16
Nao Informado,Sexta,2236.59,19
Nao Informado,Terca,419.97,2
